Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
2,44,COL,,Peter Lambert,SP,18,R / R,"HS
                    
                    
                    San Dimas HS (CA)","$1,395,200","$1,495,000","-$99,800"
2,45,TEX,,Eric Jenkins,SP,18,/,"HS
                    
                    
                    West Columbus HS (NC)","$1,360,000","$2,000,000","-$640,000"
2,46,HOU,,Thomas Eshelman,RP,21,R / R,"CO
                    
                    
                    California State-Fullerton","$1,325,700","$1,100,000","$225,700"
2,47,CHC,,Donnie Dewees,OF,21,/,"CO
                    
                    
                    North Florida","$1,292,200","$1,700,000","-$407,800"
2,48,PHI,,Scott Kingery,2B,21,R / R,"CO
                    
                    
                    Arizona","$1,259,600","$1,259,600",
2,49,CIN,,Tony Santillan,RP,18,R / R,"HS
                    
                    
                    Juan Seguin HS (TX)","$1,227,800","$1,350,000","-$122,200"
2,50,MIA,,Brett Lilek,SP,21,L / L,"CO
                    
                    
                    Arizona State","$1,196,800","$1,000,000","$196,800"
2,51,SD,,Austin Smith,SP,19,/,"HS
                    
                    
                    Park Vista Community HS (FL)","$1,178,500","$1,200,000","-$21,500"
2,52,TB,,Chris Betts,C,18,/,"HS
                    
                    
                    Woodrow Wilson HS (CA)","$1,160,500","$1,485,000","-$324,500"
2,53,NYM,,Desmond Lindsay,OF,18,/,"HS
                    
                    
                    Out-of-Door Academy (FL)","$1,142,700","$1,142,700",
2,54,ATL,,Lucas Herbert,C,18,/,"HS
                    
                    
                    San Clemente HS (CA)","$1,125,200","$1,125,200",
2,55,MIL,,Cody Ponce,SP,21,R / R,"CO
                    
                    
                    California State Poly-Pomona","$1,108,100","$1,108,000",$100
2,56,TOR,,Brady Singer,SP,18,R / R,"HS
                    
                    
                    Eustis HS (FL)","$1,091,100",Unsigned,
2,57,NYY,,Jeff Degano,SP,22,/,"CO
                    
                    
                    Indiana State","$1,074,500","$650,000","$424,500"
2,58,WSH,,Andrew Stevenson,OF,21,L / L,"CO
                    
                    
                    Louisiana State","$1,058,100","$750,000","$308,100"
2,59,CLE,,Juan Hillman,SP,18,L / L,"HS
                    
                    
                    Olympia HS (FL)","$1,041,900","$825,000","$216,900"
2,60,SEA,,Nick Neidert,SP,18,R / R,"HS
                    
                    
                    Peachtree Ridge HS (GA)","$1,025,900","$1,200,000","-$174,100"
2,61,SF,,Andrew Suarez,SP,22,L / L,"CO
                    
                    
                    Miami (FL)","$1,010,200","$1,010,100",$100
2,62,PIT,,Kevin Kramer,SS,21,L / R,"CO
                    
                    
                    California-Los Angeles","$994,800","$850,000","$144,800"
2,63,OAK,,Mikey White,SS,21,/,"CO
                    
                    
                    Alabama","$979,600","$900,000","$79,600"
2,64,KC,,Josh Staumont,RP,21,R / R,"CO
                    
                    
                    Azusa Pacific (CA)","$964,600","$964,400",$200
2,65,DET,,Tyler Alexander,RP,21,R / L,"CO
                    
                    
                    Texas Christian","$949,900","$1,000,000","-$50,100"
2,66,STL,,Bryce Denton,3B,17,/,"HS
                    
                    
                    Ravenwood HS (TN)","$935,400","$1,200,000","-$264,600"
2,67,LAD,,Mitch Hansen,OF,19,/,"HS
                    
                    
                    Plano Senior HS (TX)","$921,000","$1,000,000","-$79,000"
2,68,BAL,,Jonathan Hughes,P,18,/,"HS
                    
                    
                    Flowery Branch HS (GA)","$907,000",Unsigned,
2,69,WSH,,Blake Perkins,OF,18,S / R,"HS
                    
                    
                    Verrado HS (AZ)","$893,200","$800,000","$93,200"
2,70,LAA,,Jahmai Jones,2B,17,R / R,"HS
                    
                    
                    Wesleyan HS (GA)","$879,500","$1,100,000","-$220,500"
2,71,CIN,,Tanner Rainey,RP,22,R / R,"CO
                    
                    
                    West Alabama","$866,000","$432,950","$433,050"
2,72,SEA,,Andrew Moore,SP,21,R / R,"CO
                    
                    
                    Oregon State","$852,800","$800,000","$52,800"
2,73,MIN,,Kyle Cody,P,20,R / R,"CO
                    
                    
                    Kentucky","$839,800",Unsigned,
2,74,LAD,,Josh Sborz,RP,21,R / R,"CO
                    
                    
                    Virginia","$827,000","$722,500","$104,500"
2,75,ATL,,A.J. Minter,RP,21,L / L,"CO
                    
                    
                    Texas A&M","$814,300","$814,300",
3,76,ARI,,Taylor Clarke,RP,22,R / R,"CO
                    
                    
                    Charleston (SC)","$801,800","$801,900",-$100
3,77,COL,,Javier Medina,SP,18,/,"HS
                    
                    
                    Sahuaro HS (AZ)","$789,600","$740,000","$49,600"
3,78,TEX,,Michael Matuella,SP,21,/,"CO
                    
                    
                    Duke (NC)","$777,600","$2,000,000","-$1,222,400"
3,79,HOU,,Riley Ferrell,RP,21,R / R,"CO
                    
                    
                    Texas Christian","$765,600","$1,000,000","-$234,400"
3,80,MIN,,Travis Blankenhorn,3B,18,L / L,"HS
                    
                    
                    Pottsville HA (PA)","$754,000","$650,000","$104,000"
3,81,BOS,,Austin Rei,C,21,R / R,"CO
                    
                    
                    Washington","$742,400","$742,400",
3,82,CHC,,Bryan Hudson,SP,18,L / L,"HS
                    
                    
                    Alton HS (IL)","$731,000","$1,100,000","-$369,000"
3,83,PHI,,Luke Williams,SS,18,R / R,"HS
                    
                    
                    Dana Hills HS (CA)","$719,900","$719,800",$100
3,84,CIN,,Blake Trahan,SS,21,R / R,"CO
                    
                    
                    Louisiana-Lafayette","$708,900","$709,800",-$900
3,85,MIA,,Zeek White,CF,18,/,"HS
                    
                    
                    Greenfield HS (NC)","$698,100","$698,100",
3,86,SD,,Jacob Nix,SP,19,R / R,"HS
                    
                    
                    IMG Academy (FL)","$687,300","$900,000","-$212,700"
3,87,TB,,Brandon Lowe,2B,21,L / R,"CO
                    
                    
                    Maryland","$676,900","$697,500","-$20,600"
3,88,NYM,,Max Wotell,SP,18,/,"HS
                    
                    
                    Marvin Ridge HS (NC)","$666,500","$775,000","-$108,500"
3,89,ATL,,Anthony Guardado,SP,17,/,"HS
                    
                    
                    Nogales HS (CA)","$656,300","$550,000","$106,300"
3,90,MIL,,Nash Walters,SP,18,R / R,"HS
                    
                    
                    Lindale HS (TX)","$646,300","$800,000","-$153,700"
3,91,TOR,,Justin Maese,SP,18,/,"HS
                    
                    
                    Yselta HS (TX)","$636,500","$300,000","$336,500"
3,92,NYY,,Drew Finley,SP,19,/,"HS
                    
                    
                    Rancho Bernardo HS (CA)","$626,600","$950,000","-$323,400"
3,93,CLE,,Mark Mathias,2B,20,R / R,"CO
                    
                    
                    California State Poly-San Luis Obis...","$617,100","$550,000","$67,100"
3,94,SEA,,Braden Bishop,CF,21,R / R,"CO
                    
                    
                    Washington","$607,700","$607,700",
3,95,SF,,Jalen Miller,SS,18,R / R,"HS
                    
                    
                    Riverwood International Charter HS ...","$598,400","$1,100,000","-$501,600"
3,96,PIT,,Casey Hughston,LF,21,/,"CO
                    
                    
                    Alabama","$592,600","$700,000","-$107,400"
3,97,OAK,,Dakota Chalmers,SP,18,R / R,"HS
                    
                    
                    North Forsyth HS (GA)","$586,900","$1,200,000","-$613,100"
3,98,KC,,Anderson Miller,CF,21,/,"CO
                    
                    
                    Western Kentucky","$581,300","$581,300",
3,99,DET,,Drew Smith,RP,21,R / R,"CO
                    
                    
                    Dallas Baptist (TX)","$575,800","$575,800",
3,100,STL,,Harrison Bader,CF,21,R / R,"CO
                    
                    
                    Florida","$570,300","$400,000","$170,300"
3,101,LAD,,Philip Pfeifer,SP,23,L / L,"CO
                    
                    
                    Vanderbilt (TN)","$564,800","$222,500","$342,300"
3,102,BAL,,Garrett Cleavinger,SP,21,R / L,"CO
                    
                    
                    Oregon","$559,400","$500,000","$59,400"
3,103,WSH,,Rhett Wiseman,OF,21,L / R,"CO
                    
                    
                    Vanderbilt (TN)","$554,000","$554,100",-$100
3,104,LAA,,Grayson Long,SP,21,R / R,"CO
                    
                    
                    Texas A&M","$548,600","$548,600",
3,105,STL,,Jordan Hicks,RP,18,R / R,"HS
                    
                    
                    Cypress Creek HS (TX)","$543,300","$600,000","-$56,700"
4,106,ARI,,Breckin Williams,SP,21,/,"CO
                    
                    
                    Missouri","$538,200","$538,200",
4,107,COL,,David Hill,SP,21,R / R,"CO
                    
                    
                    San Diego (CA)","$533,000","$550,000","-$17,000"
4,108,TEX,,Jacob Lemoine,SP,21,R / R,"CO
                    
                    
                    Houston","$527,900","$528,000",-$100
4,109,HOU,,Anthony Hermelyn,C,21,/,"CO
                    
                    
                    Oklahoma","$522,800","$250,000","$272,800"
4,110,MIN,,Trey Cabbage,3B,18,/,"HS
                    
                    
                    Grainger HS (TN)","$517,800","$760,000","-$242,200"
4,111,BOS,,Tate Matheny,CF,21,R / R,"CO
                    
                    
                    Missouri State","$512,800","$512,700",$100
4,112,CHW,,Zack Erwin,SP,21,/,"CO
                    
                    
                    Clemson (SC)","$507,900","$508,000",-$100
4,113,CHC,,D.J. Wilson,OF,18,/,"HS
                    
                    
                    Canton South HS (OH)","$503,000","$1,300,000","-$797,000"
4,114,PHI,,Kyle Martin,1B,22,/,"CO
                    
                    
                    South Carolina","$498,200","$200,000","$298,200"
4,115,CIN,,Miles Gordon,CF,17,/,"HS
                    
                    
                    St. Ignatius of Loyola Catholic SS ...","$493,400","$475,000","$18,400"
4,116,MIA,,Cody Poteet,SP,20,R / R,"CO
                    
                    
                    California-Los Angeles","$488,600","$488,700",-$100
4,117,SD,,Austin Allen,C,21,L / R,"CO
                    
                    
                    Florida Tech","$484,000","$484,000",
4,118,TB,,Brandon Koch,SP,21,/,"CO
                    
                    
                    Dallas Baptist (TX)","$479,300","$437,500","$41,800"
4,119,NYM,,David Thompson,3B,21,R / R,"CO
                    
                    
                    Miami (FL)","$474,800",-,"$474,800"
4,120,ATL,,Josh Graham,SP,21,R / R,"CO
                    
                    
                    Oregon","$470,200","$500,000","-$29,800"
4,121,MIL,,Demi Orimoloye,RF,18,/,"HS
                    
                    
                    St. Matthew Catholic SS (ON)","$465,700","$450,000","$15,700"
4,122,TOR,,Carl Wise,3B,21,/,"CO
                    
                    
                    Charleston (SC)","$461,200","$450,000","$11,200"
4,123,NYY,,Jeff Hendrix,CF,22,/,"CO
                    
                    
                    Oregon State","$456,800","$456,800",
4,124,CLE,,Tyler Krieger,SS,21,S / R,"CO
                    
                    
                    Clemson (SC)","$452,400","$400,000","$52,400"
4,125,SEA,,Dylan Thompson,SP,18,/,"HS
                    
                    
                    Socastee HS (SC)","$448,100","$585,000","-$136,900"
4,126,SF,,Mac Marshall,SP,19,/,"JC
                    
                    
                    Chipola JC (FL)","$443,800","$750,000","-$306,200"
4,127,PIT,,Jacob Taylor,SP,20,R / R,"JC
                    
                    
                    Pearl River JC (MS)","$439,500","$750,000","-$310,500"
4,128,OAK,,Skye Bolt,CF,21,S / R,"CO
                    
                    
                    North Carolina","$435,300","$650,000","-$214,700"
4,129,KC,,Garrett Davila,SP,18,L / L,"HS
                    
                    
                    South Point HS (NC)","$431,100","$746,000","-$314,900"
4,130,DET,,Kade Scivicque,C,22,/,"CO
                    
                    
                    Louisiana State","$426,900","$200,000","$226,900"
4,131,STL,,Paul DeJong,3B,21,R / R,"CO
                    
                    
                    Illinois State","$422,800","$200,000","$222,800"
4,132,LAD,,Willie Calhoun,DH,20,L / R,"JC
                    
                    
                    Yavapai JC (AZ)","$418,800","$347,500","$71,300"
4,133,BAL,,Ryan McKenna,CF,18,R / R,"HS
                    
                    
                    St. Thomas Aquinas HS (NH)","$414,800","$414,700",$100
4,134,WSH,,Mariano Rivera Jr.,SP,21,/,"CO
                    
                    
                    Iona","$410,700","$410,700",
4,135,LAA,,Brendon Sanger,RF,21,/,"CO
                    
                    
                    Florida Atlantic","$406,900","$320,000","$86,900"
5,136,ARI,,Ryan Burr,RP,21,R / R,"CO
                    
                    
                    Arizona State","$403,000","$403,000",
5,137,COL,,Parker French,P,22,/,"CO
                    
                    
                    Texas","$399,100","$100,000","$299,100"
5,138,TEX,,Chad Smith,OF,17,/,"HS
                    
                    
                    South Gwinnett HS (GA)","$395,300","$395,000",$300
5,139,HOU,,Trent Thornton,RP,21,R / R,"CO
                    
                    
                    North Carolina","$391,500","$325,000","$66,500"
5,140,MIN,,Alex Robinson,P,20,/,"CO
                    
                    
                    Maryland","$387,600","$382,700","$4,900"
5,141,BOS,,Jagger Rusconi,CF,19,/,"HS
                    
                    
                    West Ranch HS (CA)","$383,900","$384,000",-$100
5,142,CHW,,Jordan Stephens,SP,22,R / R,"CO
                    
                    
                    Rice (TX)","$380,300","$300,000","$80,300"
5,143,CHC,,Ryan Kellogg,P,21,R / L,"CO
                    
                    
                    Arizona State","$376,600","$376,700",-$100
5,144,PHI,,Bailey Falter,P,18,R / L,"HS
                    
                    
                    Chino Hills HS (CA)","$373,000","$420,000","-$47,000"
5,145,CIN,,Ian Kahaloa,P,17,/,"HS
                    
                    
                    Campbell HS (HI)","$369,400","$300,000","$69,400"
5,146,MIA,,Justin Jacome,P,21,/,"CO
                    
                    
                    California-Santa Barbara","$365,900","$365,900",
5,147,SD,,Josh Magee,CF,18,/,"HS
                    
                    
                    Franklinton HS (LA)","$362,400","$275,000","$87,400"
5,148,TB,,Joe McCarthy,RF,21,L / L,"CO
                    
                    
                    Virginia","$358,900","$356,400","$2,500"
5,149,NYM,,Thomas Szapucki,P,19,R / L,"HS
                    
                    
                    Dwyer HS (FL)","$355,400","$375,000","-$19,600"
5,150,ATL,,Ryan Clark,P,21,/,"CO
                    
                    
                    North Carolina Greensboro","$352,100","$352,100",
5,151,MIL,,Blake Allemand,SS,23,/,"CO
                    
                    
                    Texas A&M","$348,600","$40,000","$308,600"
5,152,TOR,,José Espada,P,18,R / R,"HS
                    
                    
                    Jose Collazo Colon HS (PR)","$345,300","$330,000","$15,300"
5,153,NYY,,Chance Adams,SP,20,R / R,"CO
                    
                    
                    Dallas Baptist (TX)","$342,000","$330,000","$12,000"
5,154,CLE,,Ka'ai Tom,CF,21,L / R,"CO
                    
                    
                    Kentucky","$338,700","$250,000","$88,700"
5,155,SEA,,Drew Jackson,SS,21,R / R,"CO
                    
                    
                    Stanford (CA)","$335,500","$335,400",$100
5,156,SF,,Ronnie Jebavy,CF,21,/,"CO
                    
                    
                    Middle Tennessee State","$332,200","$250,000","$82,200"
5,157,PIT,,Brandon Waddell,P,21,L / L,"CO
                    
                    
                    Virginia","$329,100","$315,000","$14,100"
5,158,OAK,,Kevin Duchene,P,21,/,"CO
                    
                    
                    Illinois","$325,900","$300,000","$25,900"
5,159,KC,,Roman Collins,CF,21,/,"CO
                    
                    
                    Florida Atlantic","$322,800","$275,000","$47,800"
5,160,DET,,Cam Gibson,CF,21,L / R,"CO
                    
                    
                    Michigan State","$319,700","$319,700",
5,161,STL,,Ryan Helsley,RP,21,R / R,"CO
                    
                    
                    Northeastern State","$316,600","$225,000","$91,600"
5,162,LAD,,Brendon Davis,SS,17,R / R,"HS
                    
                    
                    Lakewood HS (CA)","$313,600","$918,600","-$605,000"
5,163,BAL,,Jason Heinrich,LF,19,/,"HS
                    
                    
                    River Ridge HS (FL)","$310,600","$310,500",$100
5,164,WSH,,Taylor Hearn,RP,20,L / L,"CO
                    
                    
                    Oklahoma Baptist","$307,600","$275,000","$32,600"
5,165,LAA,,Jared Foster,RF,22,/,"CO
                    
                    
                    Louisiana State","$304,600","$100,000","$204,600"
6,166,ARI,,Tyler Mark,P,20,/,"CO
                    
                    
                    Concordia","$301,700","$301,700",
